time: 0, pid: 1, old state: new, new_state: ready

time: 0, pid: 1, old state: ready, new_state: running

time: 2, pid: 2, old state: new, new_state: ready

time: 2, pid: 1, old state: running, new_state: waiting

time: 2, pid: 2, old state: ready, new_state: running

time: 4, pid: 3, old state: new, new_state: ready

time: 5, pid: 1, old state: waiting, new_state: ready

time: 5, pid: 2, old state: running, new_state: waiting

time: 5, pid: 3, old state: ready, new_state: running

time: 6, pid: 2, old state: waiting, new_state: ready

time: 6, pid: 3, old state: running, new_state: waiting

time: 6, pid: 1, old state: ready, new_state: running

time: 8, pid: 1, old state: running, new_state: waiting

time: 8, pid: 2, old state: ready, new_state: running

time: 9, pid: 3, old state: waiting, new_state: ready

time: 9, pid: 2, old state: running, new_state: terminated

time: 9, pid: 3, old state: ready, new_state: running

time: 10, pid: 3, old state: running, new_state: terminated

time: 11, pid: 1, old state: waiting, new_state: ready

time: 11, pid: 1, old state: ready, new_state: running

time: 13, pid: 1, old state: running, new_state: waiting

time: 16, pid: 1, old state: waiting, new_state: ready

time: 16, pid: 1, old state: ready, new_state: running

time: 17, pid: 1, old state: running, new_state: terminated

