time: 1250, pid: 1008, old state: running, new_state: waiting

time: 1270, pid: 1008, old state: waiting, new_state: ready

time: 1270, pid: 1008, old state: ready, new_state: running

time: 1280, pid: 1008, old state: running, new_state: terminated

time: 1408, pid: 1001, old state: waiting, new_state: ready

time: 1408, pid: 1001, old state: ready, new_state: running

time: 1418, pid: 1001, old state: running, new_state: waiting

time: 1678, pid: 1001, old state: waiting, new_state: ready

time: 1678, pid: 1001, old state: ready, new_state: running

time: 1688, pid: 1001, old state: running, new_state: waiting

time: 1948, pid: 1001, old state: waiting, new_state: ready

time: 1948, pid: 1001, old state: ready, new_state: running

time: 1958, pid: 1001, old state: running, new_state: waiting

time: 2218, pid: 1001, old state: waiting, new_state: ready

time: 2218, pid: 1001, old state: ready, new_state: running

time: 2228, pid: 1001, old state: running, new_state: waiting

time: 2488, pid: 1001, old state: waiting, new_state: ready

time: 2488, pid: 1001, old state: ready, new_state: running

time: 2498, pid: 1001, old state: running, new_state: terminated

